time	month	temperature	feelslike	wind	direction	gust	cloud	rain	rain_ratio	pressure	weather
00:00	1	17	17	8	SSE	13	84	0.0	0	1023	Cloudy
03:00	1	17	17	6	SSE	10	95	0.0	0	1022	Overcast
06:00	1	17	17	5	SSE	7	66	0.0	0	1023	Cloudy
09:00	1	17	17	1	SSE	10	78	0.0	0	1025	Cloudy
12:00	1	19	19	8	NNE	15	68	0.0	0	1023	Cloudy
15:00	1	21	21	5	NE	11	51	0.0	0	1019	Partly cloudy
18:00	1	20	20	4	SSW	6	94	0.0	0	1020	Overcast
21:00	1	18	18	6	SE	12	53	0.0	0	1022	Partly cloudy
00:00	1	14	15	4	SSE	8	32	0.0	0	1024	Partly cloudy
03:00	1	13	13	5	NNW	9	19	0.0	0	1023	Clear
06:00	1	12	11	6	N	12	7	0.0	0	1024	Clear
09:00	1	16	16	10	N	12	4	0.0	0	1026	Clear
12:00	1	21	21	9	NNE	15	5	0.0	0	1023	Clear
15:00	1	23	24	4	ENE	8	8	0.0	0	1020	Clear
18:00	1	20	20	3	S	4	12	0.0	0	1021	Clear
21:00	1	17	17	6	SSE	12	15	0.0	0	1023	Clear
00:00	1	18	18	8	NW	13	100	0.0	0	1024	Overcast
03:00	1	18	18	12	NW	18	52	0.0	0	1023	Partly cloudy
06:00	1	16	16	13	NNW	19	100	0.0	0	1025	Overcast
09:00	1	18	18	12	NNW	22	99	0.0	0	1027	Overcast
12:00	1	21	21	13	NNW	28	48	0.0	0	1026	Partly cloudy
15:00	1	22	22	11	NW	25	25	0.0	0	1022	Clear
18:00	1	20	20	8	W	10	14	0.0	0	1023	Clear
21:00	1	18	18	8	NW	14	11	0.0	0	1024	Clear
00:00	1	16	16	8	SE	14	4	0.0	0	1019	Clear
03:00	1	18	18	4	ESE	7	6	0.0	0	1018	Clear
06:00	1	17	17	1	E	2	7	0.0	0	1019	Clear
09:00	1	20	20	1	SSW	8	11	0.0	0	1022	Clear
12:00	1	22	24	9	SE	10	29	0.0	0	1020	Partly cloudy
15:00	1	22	24	8	SE	15	26	0.0	0	1017	Partly cloudy
18:00	1	21	21	13	SE	19	43	0.0	0	1018	Partly cloudy
21:00	1	19	19	12	SSE	16	67	0.0	0	1020	Cloudy
00:00	1	17	17	5	SSE	10	82	0.0	0	1022	Cloudy
03:00	1	16	16	8	SSE	11	77	0.0	0	1021	Cloudy
06:00	1	16	16	6	SE	9	47	0.0	0	1021	Partly cloudy
09:00	1	18	18	8	SSE	10	57	0.0	0	1023	Partly cloudy
12:00	1	21	21	10	SSE	12	55	0.0	0	1021	Partly cloudy
15:00	1	22	22	12	SSE	14	57	0.0	0	1017	Partly cloudy
18:00	1	20	20	11	SE	17	61	0.0	0	1019	Cloudy
21:00	1	17	17	11	SSE	14	91	0.0	0	1021	Overcast
00:00	1	17	17	8	NNE	15	13	0.0	0	1022	Clear
03:00	1	15	15	8	N	15	4	0.0	0	1020	Clear
06:00	1	14	14	8	NNW	15	8	0.0	0	1021	Clear
09:00	1	19	19	11	NNW	14	9	0.0	0	1022	Clear
12:00	1	22	22	6	N	15	10	0.0	0	1021	Clear
15:00	1	23	24	3	SE	8	15	0.0	0	1017	Clear
18:00	1	21	21	10	SSE	12	22	0.0	0	1018	Clear
21:00	1	18	18	10	SSE	13	45	0.0	0	1020	Partly cloudy
00:00	1	17	17	8	SSE	9	19	0.0	0	1023	Clear
03:00	1	16	16	3	SE	5	32	0.0	0	1022	Partly cloudy
06:00	1	16	16	3	NNW	5	46	0.0	0	1023	Partly cloudy
09:00	1	19	19	6	N	11	31	0.0	0	1025	Partly cloudy
12:00	1	19	19	2	NNW	11	44	0.0	0	1023	Partly cloudy
15:00	1	20	20	5	NE	11	51	0.0	0	1020	Partly cloudy
