time	month	temperature	feelslike	wind	direction	gust	cloud	rain	rain_ratio	pressure	weather
00:00	1	19	19	10	SE	15	39	0.0	0	1016	Partly cloudy
03:00	1	18	18	7	ESE	11	94	0.0	0	1015	Overcast
06:00	1	18	18	4	ESE	6	80	0.0	0	1016	Cloudy
09:00	1	20	20	5	ESE	7	72	0.0	0	1018	Cloudy
12:00	1	23	25	4	ESE	11	65	0.2	0	1015	Patchy rain possible
15:00	1	24	25	7	SE	8	97	0.0	0	1013	Overcast
18:00	1	23	25	8	E	11	96	0.0	0	1014	Overcast
21:00	1	20	20	10	SE	15	99	0.0	0	1016	Overcast
00:00	1	16	16	3	SE	4	93	0.0	0	1023	Overcast
03:00	1	15	15	2	ESE	3	100	0.0	0	1021	Overcast
06:00	1	15	15	4	NE	5	100	0.0	0	1022	Overcast
09:00	1	17	17	5	NNW	11	100	0.0	0	1024	Overcast
12:00	1	19	19	7	NNW	15	100	0.0	0	1023	Overcast
15:00	1	20	20	8	NW	16	100	0.0	0	1021	Overcast
18:00	1	18	18	9	WNW	13	100	0.0	0	1022	Overcast
21:00	1	18	18	6	WNW	13	100	0.0	0	1024	Overcast
00:00	1	18	18	11	SSE	15	53	0.0	0	1020	Partly cloudy
03:00	1	17	17	8	SE	11	38	0.0	0	1019	Partly cloudy
06:00	1	16	16	6	SE	9	23	0.0	0	1019	Clear
09:00	1	19	19	6	SE	12	55	0.0	0	1021	Partly cloudy
12:00	1	23	25	6	SE	11	88	0.0	0	1019	Overcast
15:00	1	23	25	9	SSE	17	74	0.0	0	1016	Cloudy
18:00	1	22	25	10	S	14	57	0.0	0	1017	Partly cloudy
21:00	1	21	21	13	SSE	18	78	0.0	0	1019	Cloudy
00:00	1	19	19	9	SE	13	95	0.0	0	1016	Overcast
03:00	1	18	18	10	SE	14	99	0.0	0	1016	Overcast
06:00	1	19	19	9	SE	13	91	0.0	0	1017	Overcast
09:00	1	21	21	5	SSE	12	83	0.1	0	1019	Patchy rain possible
12:00	1	23	25	8	S	15	71	0.3	0	1017	Patchy rain possible
15:00	1	25	26	5	SE	12	57	0.1	0	1015	Patchy rain possible
18:00	1	23	25	11	ESE	16	87	0.0	0	1017	Overcast
21:00	1	20	20	12	SE	18	57	0.0	0	1019	Partly cloudy
00:00	1	19	19	8	SSE	12	88	0.0	0	1019	Overcast
03:00	1	20	20	7	SE	10	67	0.3	0	1018	Patchy rain possible
06:00	1	19	19	6	SE	15	74	0.1	0	1019	Patchy rain possible
09:00	1	20	20	13	ESE	22	100	0.1	0	1021	Patchy rain possible
12:00	1	24	25	11	SSE	23	96	0.1	0	1019	Patchy rain possible
15:00	1	25	26	17	SSE	25	100	0.1	0	1016	Patchy rain possible
18:00	1	22	22	20	SE	25	71	0.0	0	1018	Cloudy
21:00	1	20	20	13	SE	19	91	0.0	0	1020	Overcast
00:00	1	16	16	8	NNE	11	100	0.0	0	1023	Overcast
03:00	1	15	15	8	N	12	100	0.0	0	1022	Overcast
06:00	1	15	15	6	NNE	9	73	0.0	0	1022	Cloudy
09:00	1	17	17	7	NNE	13	62	0.0	0	1024	Cloudy
12:00	1	20	20	8	NNE	13	60	0.0	0	1022	Partly cloudy
15:00	1	23	25	4	E	9	31	0.0	0	1019	Partly cloudy
18:00	1	21	21	3	NNE	5	96	0.0	0	1020	Overcast
21:00	1	19	19	12	SE	16	83	0.0	0	1022	Cloudy
00:00	1	18	18	9	SSE	13	71	0.0	0	1019	Cloudy
03:00	1	17	17	10	SE	15	68	0.0	0	1017	Cloudy
06:00	1	16	16	8	ESE	11	86	0.0	0	1018	Overcast
09:00	1	20	20	5	ESE	12	86	0.0	0	1020	Overcast
12:00	1	23	25	7	E	12	91	0.0	0	1017	Overcast
15:00	1	24	26	9	ESE	10	72	0.0	0	1014	Cloudy
18:00	1	23	25	14	SE	21	95	0.0	0	1015	Overcast
21:00	1	19	19	11	SSE	17	42	0.0	0	1017	Partly cloudy
00:00	1	18	18	12	SE	12	95	0.0	0	1019	Overcast
03:00	1	19	19	11	ESE	15	100	0.0	0	1017	Overcast
06:00	1	19	19	12	ESE	16	100	0.0	0	1018	Overcast
09:00	1	20	20	13	ESE	22	100	0.0	0	1020	Overcast
12:00	1	21	21	14	SE	21	100	0.0	0	1018	Overcast
15:00	1	23	25	14	ESE	23	100	0.0	0	1015	Overcast
18:00	1	22	22	14	ESE	20	100	0.0	0	1016	Overcast
21:00	1	20	20	12	SE	17	100	0.1	0	1018	Patchy rain possible
00:00	1	18	18	12	SE	20	100	0.0	0	1017	Overcast
03:00	1	17	17	11	ESE	16	100	0.0	0	1016	Overcast
06:00	1	17	17	11	E	15	100	0.3	0	1017	Patchy rain possible
09:00	1	16	16	13	NE	17	100	0.2	0	1019	Patchy rain possible
12:00	1	16	16	13	NE	18	100	0.1	0	1018	Patchy rain possible
15:00	1	16	16	14	NNE	18	100	0.0	0	1016	Overcast
18:00	1	16	16	11	NE	15	100	0.0	0	1017	Overcast
21:00	1	16	16	10	NNE	14	100	0.0	0	1019	Overcast
00:00	1	16	16	6	NNE	8	100	0.0	0	1017	Overcast
03:00	1	15	15	6	ENE	8	100	0.1	0	1015	Patchy rain possible
