C_values,g_values,train_errs1,val_errs1
0.1,0.0001,25.15091745860977,25.149414295959836
0.1,0.001,18.128025820333516,17.81018407841263
0.1,0.01,18.128025820333516,17.81018407841263
0.1,0.1,17.888948658179427,17.618933779584033
0.1,1.0,21.1762596377981,21.730815204398755
1.0,0.0001,18.128025820333516,17.81018407841263
1.0,0.001,18.128025820333516,17.81018407841263
1.0,0.01,18.128025820333516,17.81018407841263
1.0,0.1,17.524355985894445,17.475496055462592
1.0,1.0,13.830613830613835,18.07315323930193
10.0,0.0001,18.128025820333516,17.81018407841263
10.0,0.001,18.128025820333516,17.81018407841263
10.0,0.01,18.128025820333516,17.81018407841263
10.0,0.1,16.179546948777723,17.42768348075544
10.0,1.0,7.578746040284501,20.487688262012902
20.0,0.0001,18.128025820333516,17.81018407841263
20.0,0.001,18.128025820333516,17.81018407841263
20.0,0.01,18.0921642460104,17.786277791059046
20.0,0.1,15.581854043392507,17.42768348075544
20.0,1.0,5.7617596079134525,22.01769065264164
50.0,0.0001,18.128025820333516,17.81018407841263
50.0,0.001,18.128025820333516,17.81018407841263
50.0,0.01,17.835156296694755,17.52330863016973
50.0,0.1,14.816807124499432,17.95362180253407
50.0,1.0,3.8909808140577318,23.978006215634718
100.0,0.0001,18.128025820333516,17.81018407841263
100.0,0.001,18.128025820333516,17.81018407841263
100.0,0.01,17.667802283186894,17.116901745158973
100.0,0.1,14.290837367760446,18.3839349748984
100.0,1.0,2.8330643715259063,24.886445135070524
